id,name,year,expansion,minplayers,maxplayers,bestminnumplayers,bestmaxnumplayers,rminnumplayers,rmaxnumplayers,age,averageweight,minplaytime,maxplaytime,url
765,Space Walk,1999,0,2,5,4,4,2,5,8,1.48,45,45,765/space-walk
766,Regatta,1967,0,2,6,4,4,2,6,10,2.07,60,60,766/regatta
770,Loot,1992,0,2,8,4,4,3,6,10,1.38,20,20,770/loot
771,Kings and Castles,2000,0,2,4,4,4,3,4,10,2.62,90,90,771/kings-and-castles
774,Buddel Bande,1999,0,2,4,4,4,3,4,6,1.0,30,30,774/buddel-bande
782,"Win, Place & Show",1966,0,3,6,6,6,3,6,8,2.08,120,120,782/win-place-show
788,Tales of the Arabian Nights,1985,0,1,6,2,4,1,4,12,2.42,120,120,788/tales-arabian-nights
789,Focus,1963,0,2,4,2,2,2,4,10,2.39,45,45,789/focus
790,Terra Turrium,1990,0,2,4,0,0,0,0,12,2.25,90,90,790/terra-turrium
792,Megiddo,1985,0,2,3,0,0,0,0,8,2.33,20,20,792/megiddo
793,Yahtzee Deluxe Poker,1994,0,2,6,4,6,3,6,12,1.33,20,20,793/yahtzee-deluxe-poker
795,Dragonlance,1988,0,2,6,4,4,3,6,10,1.88,60,60,795/dragonlance
798,Ace of Aces: Handy Rotary Series,1980,0,2,2,2,2,2,2,10,1.75,20,20,798/ace-aces-handy-rotary-series
799,The Hills Rise Wild!,2000,0,2,4,4,4,2,4,12,2.62,180,180,799/hills-rise-wild
801,Crimean War Battles,1978,0,2,2,2,2,1,2,12,2.82,120,120,801/crimean-war-battles
802,Taipei: China Invades,2000,0,2,2,0,0,0,0,12,4.33,120,120,802/taipei-china-invades
803,Dragonhunt,1982,0,2,6,0,0,4,6,12,2.57,120,120,803/dragonhunt
804,Thunder Road,1986,0,2,4,4,4,2,4,10,1.36,45,45,804/thunder-road
805,Buffy the Vampire Slayer: The Game,2000,0,2,5,5,5,2,5,12,2.01,90,90,805/buffy-vampire-slayer-game
806,West Riding,2000,0,3,6,3,4,3,4,12,3.5,180,180,806/west-riding
808,Pipeline: The Oil Game,1988,0,2,4,0,0,0,0,8,1.8,30,30,808/pipeline-oil-game
810,Amoeba,1975,0,2,4,0,0,0,0,8,2.0,0,0,810/amoeba
811,Rummikub,1977,0,2,4,4,4,2,4,8,1.74,60,60,811/rummikub
813,Goosebumps: Terror in the Graveyard Game,1995,0,2,4,4,4,3,4,7,1.18,45,45,813/goosebumps-terror-graveyard-game
814,Aquarius,1998,0,2,5,3,4,2,5,6,1.14,10,30,814/aquarius
815,Chrononauts,2000,0,1,6,4,4,1,5,11,1.84,30,30,815/chrononauts
816,2038: Tycoons of the Asteroid Belt,1995,0,3,6,4,4,3,5,14,4.02,360,360,816/2038-tycoons-asteroid-belt
820,Axiom,1988,0,2,2,2,2,2,2,9,2.93,15,15,820/axiom
822,Carcassonne,2000,0,2,5,2,2,2,5,7,1.9,30,45,822/carcassonne
823,The Lord of the Rings,2000,0,2,5,4,4,1,5,12,2.57,60,90,823/lord-rings
824,Hijara,1995,0,2,2,0,0,0,0,10,1.5,40,40,824/hijara
825,Screaming Eagles,1987,0,2,4,2,2,2,4,10,1.32,20,20,825/screaming-eagles
826,Cartagena,2000,0,2,5,3,3,2,5,8,1.61,45,45,826/cartagena
827,Attila,2000,0,2,5,4,4,3,5,10,2.55,45,45,827/attila
828,Wizards,1982,0,1,6,3,3,2,4,12,2.96,120,240,828/wizards
831,Schrille Stille,1999,0,3,6,6,6,3,6,10,1.76,90,90,831/schrille-stille
833,For the People,1998,0,2,2,2,2,2,2,12,3.72,360,360,833/people
836,New England Railways,2000,0,2,6,4,4,3,5,13,2.63,90,120,836/new-england-railways
840,Corsairs,2000,0,2,4,4,4,2,4,10,1.68,60,60,840/corsairs
841,Razzia,1992,0,3,8,6,6,4,8,12,1.39,30,30,841/razzia
843,Circus Minimus,2000,0,2,7,4,4,2,5,12,2.14,60,60,843/circus-minimus
847,Feudal,1967,0,2,6,2,2,2,6,10,2.31,90,90,847/feudal
852,Pop Belly,1999,0,2,4,2,4,2,4,4,1.27,15,25,852/pop-belly
853,...und tschüss!,1997,0,4,6,5,6,4,6,10,1.3,30,30,853/und-tschuss
854,Doge,2000,0,3,4,4,4,3,4,12,2.55,45,45,854/doge
855,Java,2000,0,2,4,3,3,2,4,12,3.39,120,120,855/java
859,Illuminati,1982,0,2,6,4,5,3,6,12,2.48,60,120,859/illuminati
860,Scotland the Brave,1998,0,2,2,2,2,1,2,12,2.77,180,180,860/scotland-brave
861,Weapons & Warriors: Castle Combat Set,1993,0,2,99,2,2,2,2,7,1.27,30,30,861/weapons-warriors-castle-combat-set
867,Morisi,2000,0,2,4,0,0,2,4,10,2.1,45,45,867/morisi
870,Empires of the Ancient World,2000,0,3,5,5,5,4,5,12,2.98,120,180,870/empires-ancient-world
872,M,2000,0,2,6,0,0,2,5,10,1.96,30,30,872/m
875,Roads & Boats,1999,0,1,4,2,2,1,4,14,4.19,240,240,875/roads-boats
878,Wyatt Earp,2001,0,2,4,3,3,2,4,8,1.84,30,45,878/wyatt-earp
883,Ivanhoe,2000,0,2,5,4,4,3,5,10,1.61,45,45,883/ivanhoe
884,Way Out West,2000,0,3,5,4,4,3,5,12,2.62,90,120,884/way-out-west
891,Cranium,1998,0,4,16,8,8,4,4,13,1.43,60,60,891/cranium
895,APBA Pro Baseball,1951,0,1,2,2,2,1,2,10,1.91,30,30,895/apba-pro-baseball
902,Meuterer,2000,0,3,4,4,4,4,4,12,2.32,60,60,902/meuterer
903,Hamsterrolle,2000,0,2,4,4,4,2,4,7,1.07,30,40,903/hamsterrolle
904,Dream Factory,2000,0,2,5,5,5,3,5,10,2.11,60,60,904/dream-factory
905,Vagabondo,1979,0,2,6,2,2,2,2,8,1.6,30,30,905/vagabondo
908,Tally Ho!,1973,0,2,2,2,2,2,2,8,1.49,30,30,908/tally-ho
911,Empires of the Middle Ages,1980,0,1,6,5,6,3,6,14,3.54,240,360,911/empires-middle-ages
912,Pacific Victory: War in the Pacific 1941-45,2000,0,2,2,2,2,2,2,12,3.19,120,240,912/pacific-victory-war-pacific-1941-45
915,Mystery of the Abbey,1995,0,3,6,4,5,3,6,8,2.2,60,90,915/mystery-abbey
916,Pete the Pirate,2000,0,2,4,0,0,2,4,6,1.22,30,30,916/pete-pirate
917,Rack-O,1956,0,2,4,4,4,2,4,8,1.2,45,45,917/rack-o
923,Breakaway Rider,1963,0,2,6,4,6,3,6,8,1.28,20,20,923/breakaway-rider
925,Werewolf,1986,0,8,24,0,0,8,24,8,1.4,60,60,925/werewolf
926,Catan: Cities & Knights,1998,1,3,4,4,4,3,4,12,2.9,90,90,926/catan-cities-knights
929,The Great Dalmuti,1995,0,4,8,6,7,5,8,8,1.29,60,60,929/great-dalmuti
931,Corner,1974,0,2,4,2,2,2,2,10,1.5,0,0,931/corner
932,Top Race,1996,0,2,6,4,4,3,6,8,1.75,45,45,932/top-race
935,Australian Rails,1994,0,2,6,3,3,2,4,10,2.65,180,240,935/australian-rails
936,The Fury of Dracula,1987,0,2,4,4,4,2,4,12,2.6,180,180,936/fury-dracula
937,1825 Unit 1,1995,0,2,5,4,4,2,5,14,3.58,180,180,937/1825-unit-1
938,Enchanted Forest,1981,0,2,6,4,4,2,5,6,1.26,30,60,938/enchanted-forest
939,Star Wars: The Queen's Gambit,2000,0,2,4,2,2,2,2,12,2.49,120,120,939/star-wars-queens-gambit
943,Ligretto,1988,0,2,4,4,4,3,4,8,1.18,10,10,943/ligretto
944,Mag·Blast,1998,0,2,6,4,5,2,6,10,1.54,60,60,944/magblast
949,Twixt,1962,0,2,4,2,2,2,2,12,2.5,30,30,949/twixt
950,Four Dragons,2000,0,3,4,4,4,4,4,12,2.36,30,30,950/four-dragons
951,Football Strategy,1959,0,2,4,2,2,2,2,10,1.56,150,150,951/football-strategy
956,Azteca,1998,0,2,4,4,4,3,4,12,3.38,240,240,956/azteca
959,Luftschiff,1996,0,1,2,1,1,1,1,12,3.32,60,60,959/luftschiff
963,The Gardens of the Alhambra,1993,0,2,4,4,4,2,4,8,1.8,45,60,963/gardens-alhambra
964,Kapitän Wackelpudding,1994,0,2,5,2,3,2,4,8,1.1,30,30,964/kapitan-wackelpudding
979,The Powerpuff Girls: Saving the World Before Bedtime,2000,0,2,4,4,4,2,4,8,1.19,30,30,979/powerpuff-girls-saving-world-bedtime
980,Al Cabohne,2000,0,1,2,2,2,1,2,12,1.77,60,60,980/al-cabohne
982,Amoeba Wars,1981,0,2,6,4,4,3,6,12,2.13,150,150,982/amoeba-wars
983,Tangoes,1980,0,1,2,2,2,1,2,5,1.5,10,10,983/tangoes
986,Babel,2000,0,2,2,2,2,2,2,12,2.4,45,60,986/babel
987,Kingmaker,1974,0,2,7,5,5,3,7,12,3.07,240,240,987/kingmaker
988,Zapp Zerapp,2000,0,2,4,0,0,2,4,7,1.3,30,30,988/zapp-zerapp
993,An den Ufern des Nils,1994,0,2,5,4,4,2,5,12,2.32,60,60,993/den-ufern-des-nils
999,Panda Monium,1994,0,3,6,6,6,3,3,6,1.0,20,20,999/panda-monium
1000,Corona,1974,0,2,10,0,0,0,0,12,2.33,45,45,1000/corona
1002,Cosmic Eidex,1998,0,3,3,3,3,3,3,10,2.68,60,60,1002/cosmic-eidex
1005,Der Tiger ist los,1998,0,2,4,0,0,0,0,5,1.5,15,15,1005/der-tiger-ist-los
1014,Fief 2,1989,0,3,6,4,5,4,6,10,2.91,120,120,1014/fief-2
1017,Fresh Fish,1997,0,2,5,4,4,3,5,12,3.06,60,60,1017/fresh-fish
1021,Harun,1984,0,2,20,0,0,0,0,10,0.0,25,25,1021/harun
1029,Lieber bairisch sterben,1988,0,3,5,0,0,3,5,16,3.0,210,210,1029/lieber-bairisch-sterben
1032,B-17: Queen of the Skies,1981,0,1,2,1,1,1,1,12,2.35,20,20,1032/b-17-queen-skies
1033,"Xenophon: 10,000 Against Persia",2000,0,2,2,2,2,1,2,0,3.67,120,120,1033/xenophon-10000-against-persia
1035,Squad Leader,1977,0,2,2,2,2,1,2,14,4.04,60,60,1035/squad-leader
1036,Speculation,1992,0,3,6,5,5,3,6,10,2.0,45,45,1036/speculation
1037,Deadlands: Doomtown,1998,0,2,6,2,2,2,6,10,3.02,45,45,1037/deadlands-doomtown
1038,Tantrix,1991,0,1,6,2,2,1,4,8,2.22,30,30,1038/tantrix
1041,San Marco,2001,0,3,4,3,3,3,4,10,2.68,75,75,1041/san-marco
1042,Dragon's Gold,2001,0,3,6,6,6,3,6,12,1.69,45,45,1042/dragons-gold
1044,Gunslinger,1982,0,2,7,4,7,2,7,12,3.29,90,90,1044/gunslinger
1045,Malawi,1986,0,2,2,2,2,2,2,10,2.0,20,20,1045/malawi
