id,name,year,expansion,minplayers,maxplayers,bestminnumplayers,bestmaxnumplayers,rminnumplayers,rmaxnumplayers,age,averageweight,minplaytime,maxplaytime,url
4471,Fist of Dragonstones,2002,0,3,6,4,4,3,5,8,1.86,45,45,4471/fist-dragonstones
4472,Arnhem Bridge,1982,0,2,2,2,2,1,2,12,2.43,180,180,4472/arnhem-bridge
4479,Ratrace,1967,0,2,6,4,4,3,6,9,1.58,90,90,4479/ratrace
4483,The Buntu Circus,1997,0,2,4,3,4,3,4,0,3.67,90,90,4483/buntu-circus
4488,Scarab Lords,2002,0,2,2,2,2,2,2,12,1.92,20,40,4488/scarab-lords
4491,Cave Troll,2002,0,2,4,4,4,2,4,10,1.98,20,60,4491/cave-troll
4492,Trivial Pursuit: 20th Anniversary Edition,2002,0,2,6,4,4,2,6,12,1.82,180,180,4492/trivial-pursuit-20th-anniversary-edition
4493,Kayanak,1999,0,2,4,3,4,2,4,4,1.2,15,15,4493/kayanak
4494,Phase Line Smash,1992,0,1,1,1,1,1,1,12,4.26,90,90,4494/phase-line-smash
4495,Fill 'er Up!,1996,0,1,3,0,0,0,0,4,0.0,10,10,4495/fill-er
4500,Like Lions They Fought,1994,0,2,2,2,2,2,2,12,2.58,120,120,4500/lions-they-fought
4505,Tarot,1425,0,2,8,5,5,3,5,12,2.47,30,30,4505/tarot
4508,Warchon,2002,0,1,2,1,1,1,2,12,3.0,30,60,4508/warchon
4510,Johnny Reb III: Regimental Grand Tactical American Civil War Miniatures Rules,1996,0,2,2,3,4,3,4,12,1.5,360,360,4510/johnny-reb-iii-regimental-grand-tactical-american
4513,Hand Drauf!,2002,0,2,5,0,0,0,0,5,1.0,20,20,4513/hand-drauf
4515,Boundary,1970,0,2,2,2,2,2,2,12,2.0,30,30,4515/boundary
4516,Ragnarok: The Twilight of the Gods,1981,0,2,2,0,0,0,0,12,2.46,120,120,4516/ragnarok-twilight-gods
4522,The Ladybug's Costume Party,2002,0,2,6,4,4,2,6,4,1.05,20,30,4522/ladybugs-costume-party
4529,Hellas,2002,0,2,2,2,2,2,2,12,2.05,45,60,4529/hellas
4532,Thud,2002,0,2,2,2,2,2,2,8,2.63,60,60,4532/thud
4533,Dice Kwon Do,2001,0,2,2,0,0,0,0,7,1.0,10,10,4533/dice-kwon-do
4545,Upper Hand,1985,0,2,2,0,0,0,0,7,2.0,20,20,4545/upper-hand
4546,Cradle of Civilization,1981,0,2,7,0,0,0,0,12,2.0,120,120,4546/cradle-civilization
4548,Dinosaur Hunters!,1993,0,3,4,0,0,0,0,6,0.0,90,90,4548/dinosaur-hunters
4550,1000 Blank White Cards,1996,0,3,99,6,6,3,7,5,1.38,60,60,4550/1000-blank-white-cards
4551,Quick Cross,1997,0,2,2,0,0,0,0,0,2.0,10,10,4551/quick-cross
4553,Attribute,2002,0,3,8,6,7,4,8,8,1.18,30,30,4553/attribute
4556,Patton's Best,1987,0,1,1,1,1,1,1,12,3.2,30,120,4556/pattons-best
4558,Take Off!,1987,0,2,6,4,4,2,6,6,1.29,60,60,4558/take
4560,Fast 111's,1981,0,2,4,0,0,0,0,5,1.0,20,20,4560/fast-111s
4562,Mogul,2002,0,3,6,4,4,3,6,13,1.93,45,45,4562/mogul
4564,Blue & Gray: Four American Civil War Battles,1975,0,2,2,2,2,1,2,12,2.06,60,240,4564/blue-gray-four-american-civil-war-battles
4578,UNO Wild Tiles,1982,0,2,4,4,4,3,4,8,1.09,10,10,4578/uno-wild-tiles
4583,Pinochle,1864,0,2,4,4,4,2,4,10,2.31,45,45,4583/pinochle
4586,Bärenspiel,1983,0,2,5,2,2,2,3,4,1.0,15,15,4586/barenspiel
4597,Blood Wars,1995,0,2,8,5,5,3,8,12,2.25,90,90,4597/blood-wars
4599,Shades of Thought,0,0,2,2,0,0,0,0,6,1.0,10,10,4599/shades-thought
4604,Chez Greek,2002,0,2,6,4,4,3,6,18,1.46,60,60,4604/chez-greek
4606,Sucking Vacuum,2004,0,3,6,6,6,4,6,13,1.75,45,45,4606/sucking-vacuum
4607,Omnigon,1988,0,2,2,2,2,2,2,0,2.0,10,10,4607/omnigon
4610,Lord of the Rings: The Duel,2002,0,2,2,2,2,2,2,10,1.72,45,45,4610/lord-rings-duel
4613,1854,2002,0,3,6,4,4,3,6,12,4.2,300,300,4613/1854
4614,The Touch,2002,0,2,6,3,6,2,6,0,0.0,45,45,4614/touch
4616,Arimaa,2002,0,2,2,2,2,2,2,10,3.21,60,60,4616/arimaa
4623,"The Fast Carriers: Air-Sea Operations, 1941-77",1975,0,2,2,2,2,1,2,12,3.38,120,120,4623/fast-carriers-air-sea-operations-1941-77
4625,Millennium: The Era of Invasion,1981,0,2,2,2,2,2,2,12,3.11,300,300,4625/millennium-era-invasion
4627,Ultra-Warrior,1981,0,2,4,0,0,2,4,10,1.6,30,30,4627/ultra-warrior
4628,Ice Cube,1972,0,2,4,0,0,0,0,5,1.0,10,10,4628/ice-cube
4630,Fire on the Suns: Tactical Command (2nd Edition),2002,0,2,8,0,0,0,0,12,1.0,60,60,4630/fire-suns-tactical-command-2nd-edition
4636,Clans,2002,0,2,4,2,2,2,4,10,2.03,30,30,4636/clans
4637,Max,1986,0,1,8,2,3,1,6,4,1.12,20,20,4637/max
4638,Spellcast,2000,0,2,6,0,0,0,0,0,0.0,10,10,4638/spellcast
4641,Life on the Farm Board Game,1996,0,2,6,2,3,2,4,8,1.38,120,120,4641/life-farm-board-game
4643,Fire and Ice,2002,0,1,2,2,2,2,2,12,3.06,30,30,4643/fire-and-ice
4645,Dragon Epic,1999,0,2,4,4,4,2,4,12,3.0,180,180,4645/dragon-epic
4646,Bommerz over da Sulphur River,1998,0,1,2,2,2,1,2,8,2.25,30,30,4646/bommerz-over-da-sulphur-river
4647,Cleric's Revenge,1985,0,2,2,2,2,1,2,10,2.25,45,45,4647/clerics-revenge
4651,Stalingrad,1963,0,2,2,2,2,1,2,12,2.36,120,120,4651/stalingrad
4656,The Classified Encyclopedia of Chess Variants,1994,0,2,2,0,0,0,0,8,3.0,45,45,4656/classified-encyclopedia-chess-variants
4666,Fields of Honor: The American War for Independence,2000,0,2,2,0,0,2,2,12,2.0,90,90,4666/fields-honor-american-war-independence
4667,Eagles: Waterloo,1995,0,2,2,2,2,2,2,12,2.18,120,120,4667/eagles-waterloo
4671,INWO SubGenius,1998,0,2,4,4,4,3,4,12,2.65,120,120,4671/inwo-subgenius
4674,Assault on Sevastapol,1990,0,2,2,2,2,1,2,12,1.57,45,45,4674/assault-sevastapol
4675,"Knights of Justice: The Siege of Malta, 1565",1986,0,2,2,0,0,0,0,12,3.17,120,120,4675/knights-justice-siege-malta-1565
4676,Rush for Glory,1989,0,2,2,2,2,1,2,12,2.54,120,120,4676/rush-glory
4677,Lee Invades the North,1988,0,2,2,0,0,2,2,12,2.25,120,360,4677/lee-invades-north
4680,"Baton Rouge: Street Fighting in the Louisiana Capital, August 5, 1862",1990,0,2,2,2,2,1,2,12,3.22,120,120,4680/baton-rouge-street-fighting-louisiana-capital-augu
4683,Prochorovka: Armor at Kursk,1979,0,2,2,2,2,1,2,12,2.25,120,120,4683/prochorovka-armor-kursk
4686,War at Sea 2,1977,1,2,2,2,2,2,2,12,2.07,90,90,4686/war-sea-2
4688,Angola,1988,0,2,4,4,4,4,4,0,3.17,480,480,4688/angola
4695,Weapons & Warriors: Lashout Launcher Set,1994,0,2,2,0,0,0,0,7,1.0,30,30,4695/weapons-warriors-lashout-launcher-set
4697,The Fall of France,2002,0,2,2,0,0,0,0,12,3.5,360,360,4697/fall-france
4701,King of the Hill,1958,0,2,4,4,4,2,4,8,0.0,20,20,4701/king-hill
4703,Aux Sabords!,2001,0,2,4,0,0,0,0,5,2.5,30,30,4703/aux-sabords
4712,The DragonLords,1978,0,2,2,0,0,0,0,12,3.0,120,120,4712/dragonlords
4725,By Force Of Arms,1994,0,2,2,0,0,0,0,12,3.0,120,120,4725/force-arms
4726,To Forge a Nation,2000,0,2,2,0,0,0,0,0,0.0,120,120,4726/forge-nation
4732,Space Warrior,1980,0,2,4,0,0,0,0,12,0.0,60,60,4732/space-warrior
4733,I.C.B.M.,1981,0,2,2,0,0,2,2,12,2.0,30,45,4733/icbm
4737,Numble,1965,0,2,4,2,2,2,4,10,2.5,45,45,4737/numble
4740,"Run Silent, Run Deep",1993,0,2,6,3,3,2,3,12,2.83,180,180,4740/run-silent-run-deep
4741,Warmachine,2003,0,2,4,2,2,2,2,12,3.52,60,60,4741/warmachine
4745,Battlecards: World Conflict – Western European Campaign – Starter Set,2001,0,2,8,2,2,2,2,8,1.95,60,60,4745/battlecards-world-conflict-western-european-campai
4746,Dungeons & Dragons Computer Labyrinth Game,1980,0,1,2,1,1,1,2,8,1.7,20,20,4746/dungeons-dragons-computer-labyrinth-game
4753,King's Gate,2002,0,2,4,0,0,2,4,9,2.04,30,30,4753/kings-gate
4756,Beyond the Stars,1964,0,0,0,0,0,0,0,7,0.0,20,20,4756/beyond-stars
4759,The War to End All Wars: Box Set Edition,2002,0,2,10,0,0,0,0,12,1.5,360,360,4759/war-end-all-wars-box-set-edition
4764,Casino Yahtzee,1986,0,2,4,4,4,2,4,8,1.13,45,45,4764/casino-yahtzee
4769,Great War at Sea: The Mediterranean,1996,0,2,2,2,2,1,2,12,2.78,120,120,4769/great-war-sea-mediterranean
4772,Simon de Montfort,1979,0,2,2,2,2,1,2,12,2.75,120,120,4772/simon-de-montfort
4774,Breaking into Valhalla,2001,0,2,2,1,2,1,2,12,3.0,360,360,4774/breaking-valhalla
4775,Blood & Steel Expansion,1999,1,2,2,0,0,0,0,12,3.0,360,360,4775/blood-steel-expansion
4787,Captain Caveman and the Teen Angels Game,1980,0,2,4,0,0,0,0,6,0.0,30,30,4787/captain-caveman-and-teen-angels-game
4788,Quad-Ominos,1978,0,2,8,0,0,2,4,10,2.2,60,60,4788/quad-ominos
4789,Trivial Pursuit: Genus III,1991,0,2,6,3,3,2,6,16,1.63,90,90,4789/trivial-pursuit-genus-iii
4792,Tiddledy Winks,1888,0,1,6,1,1,1,5,4,1.1,10,10,4792/tiddledy-winks
4794,Soldier King,1982,0,2,4,4,4,4,4,12,2.17,180,180,4794/soldier-king
4799,Dicemaster: Cities of Doom,1996,0,2,2,2,2,2,2,12,1.71,90,90,4799/dicemaster-cities-doom
4802,Holy Roman Empire,1984,0,2,6,4,5,1,6,12,2.79,240,240,4802/holy-roman-empire
4809,The Bill,1992,0,2,6,0,0,0,0,5,0.0,45,45,4809/bill
4811,Diadem,1981,0,2,4,0,0,0,0,12,3.0,240,240,4811/diadem
4813,Kamakura,1982,0,2,6,0,0,0,0,12,3.2,120,120,4813/kamakura
4814,Rubout,1989,0,2,8,8,8,8,8,8,1.77,180,180,4814/rubout
4815,The Campaign for North Africa: The Desert War 1940-43,1979,0,8,10,6,6,1,1,14,4.71,60000,60000,4815/campaign-north-africa-desert-war-1940-43
4816,Xactika,2002,0,2,10,4,4,3,8,12,1.98,45,45,4816/xactika
4818,Empire,2000,0,2,4,4,4,4,4,12,3.0,240,240,4818/empire
4832,Allenby's Blitzkrieg,2001,0,2,2,0,0,0,0,12,2.0,120,120,4832/allenbys-blitzkrieg
4833,Hamel 1918,2001,0,2,2,0,0,0,0,12,3.0,180,180,4833/hamel-1918
4835,Pusan Perimeter,1999,0,2,2,0,0,0,0,12,2.5,90,90,4835/pusan-perimeter
4836,Blitzkrieg Stalled: Arras,2002,0,2,2,0,0,0,0,12,3.0,90,90,4836/blitzkrieg-stalled-arras
4837,Blitzkrieg Checked: Gembloux,2001,0,2,2,0,0,0,0,12,0.0,90,90,4837/blitzkrieg-checked-gembloux
4838,Blitzkrieg Unleashed: Sedan,2001,0,2,2,0,0,0,0,12,0.0,90,90,4838/blitzkrieg-unleashed-sedan
4839,Berlin '85: The Enemy at the Gates,1980,0,2,2,1,2,1,2,12,2.78,180,180,4839/berlin-85-enemy-gates
4841,Morgan's Rifles,1981,0,2,2,0,0,0,0,0,2.0,180,180,4841/morgans-rifles
4843,Give Me Liberty,1992,0,1,2,2,2,2,2,12,3.54,120,120,4843/give-me-liberty
4845,Star Wars: Escape From Death Star Game,1977,0,2,4,0,0,3,4,7,1.14,20,20,4845/star-wars-escape-death-star-game
4847,Pantheon: The War of the Gods,1992,0,2,4,0,0,0,0,12,2.0,180,180,4847/pantheon-war-gods
4848,Blue & Gray II: Four Civil War Battles,1975,0,2,2,2,2,1,2,12,2.08,120,120,4848/blue-gray-ii-four-civil-war-battles
4851,Civil War Game 1863,1961,0,2,2,2,2,2,2,10,1.56,30,30,4851/civil-war-game-1863
4852,Armada: The War With Spain 1585-1604,1978,0,2,2,2,2,2,2,12,3.0,480,480,4852/armada-war-spain-1585-1604
4853,Tripoley,1937,0,2,9,4,4,4,9,8,1.49,60,60,4853/tripoley
4854,7th Fleet: Modern Naval Combat in the Far East,1987,0,2,2,2,2,1,2,12,3.62,120,120,4854/7th-fleet-modern-naval-combat-far-east
4858,Pass It On,1978,0,2,4,2,2,2,4,8,1.0,20,20,4858/pass-it
4862,Outburst!,1986,0,4,20,6,6,4,4,18,1.17,60,60,4862/outburst
4864,Scene It?: The DVD Movie Game,2002,0,2,12,4,6,2,10,13,1.38,30,30,4864/scene-it-dvd-movie-game
4880,War to the Death,1986,0,2,2,2,2,1,2,12,2.6,240,240,4880/war-death
4884,The Legend Begins,1991,0,2,2,2,2,1,2,12,3.26,240,240,4884/legend-begins
4887,The Smurf Card Game,1982,0,2,4,0,0,0,0,6,1.0,30,30,4887/smurf-card-game
4888,Don't Break the Ice,1968,0,2,4,2,2,2,4,3,1.14,20,20,4888/dont-break-ice
4889,Dizzy Dizzy Dinosaur,1987,0,2,4,4,4,2,4,5,1.18,10,10,4889/dizzy-dizzy-dinosaur
4895,Chicken Run: The Chicken Pot Pie Game,2000,0,2,4,0,0,0,0,5,0.0,20,20,4895/chicken-run-chicken-pot-pie-game
4897,Shake Up,1997,0,2,4,0,0,0,0,7,1.14,30,30,4897/shake
4899,Cap the Hat,1938,0,2,4,0,0,0,0,5,1.0,30,30,4899/cap-hat
4901,Inspector Gadget Game,1983,0,2,4,0,0,0,0,6,1.0,20,20,4901/inspector-gadget-game
4907,PAC-MAN Game,1982,0,2,4,2,4,2,4,7,1.28,20,20,4907/pac-man-game
4914,"Great War at Sea: 1898, The Spanish American War",2000,0,2,4,2,2,1,2,12,2.61,30,30,4914/great-war-sea-1898-spanish-american-war
4915,Great War at Sea 2: The North & Baltic Seas,1998,0,2,4,2,2,1,2,12,2.89,180,180,4915/great-war-sea-2-north-baltic-seas
4916,"Great War at Sea: 1904-1905, The Russo-Japanese War",1999,0,2,4,2,2,1,2,12,2.46,30,30,4916/great-war-sea-1904-1905-russo-japanese-war
4917,Great War at Sea: U.S. Navy Plan Black,1999,0,2,4,2,2,1,2,12,2.45,120,120,4917/great-war-sea-us-navy-plan-black
4918,Great War at Sea: U.S. Navy Plan Orange,1998,0,2,4,2,2,1,2,12,2.38,120,120,4918/great-war-sea-us-navy-plan-orange
4919,Great War at Sea: U.S. Navy Plan Red,2002,0,1,2,2,2,1,2,12,2.55,30,30,4919/great-war-sea-us-navy-plan-red
4920,5th Fleet: Modern Naval Combat in the Indian Ocean,1989,0,2,4,2,2,1,4,12,3.44,180,180,4920/5th-fleet-modern-naval-combat-indian-ocean
4921,"3rd Fleet: Modern Naval Combat in the North Pacific, Caribbean, and Atlantic Oceans",1990,0,2,4,2,2,1,4,12,3.59,180,180,4921/3rd-fleet-modern-naval-combat-north-pacific-caribb
4922,Clever Endeavor,1989,0,2,8,4,4,2,6,12,1.88,45,45,4922/clever-endeavor
4928,Clue: 50th Anniversary Edition,1999,0,3,6,0,0,4,6,8,1.63,60,60,4928/clue-50th-anniversary-edition
4935,Test of Arms,1988,0,2,2,0,0,0,0,12,2.22,120,120,4935/test-arms
4939,Formula Dé Circuits 13 & 14: Montreal & Long Beach,1998,1,2,10,0,0,3,3,12,1.95,120,120,4939/formula-de-circuits-13-14-montreal-long-beach
4943,Formula Dé Circuits 3 & 4: Zandvoort 2 & SPA-Francorchamps,1997,1,2,10,6,8,4,10,12,1.83,120,120,4943/formula-de-circuits-3-4-zandvoort-2-spa-francorcha
4953,1313 Dead End Drive,2002,0,2,4,4,4,3,4,8,1.33,60,90,4953/1313-dead-end-drive
4954,Formula Dé Circuits 7 & 8: Magny-Cours & Monza,1997,1,2,10,6,7,3,10,12,1.8,120,120,4954/formula-de-circuits-7-8-magny-cours-monza
4957,Timberland,1989,0,2,4,0,0,2,4,8,2.0,30,30,4957/timberland
4958,Ardennes,1994,0,2,4,2,2,1,2,12,2.86,180,180,4958/ardennes
4959,Crusader,1997,0,2,4,2,2,1,2,12,2.5,180,180,4959/crusader
4960,Gazala,1998,0,2,4,2,2,1,4,12,2.75,180,180,4960/gazala
4961,Sunda to Sahul,2002,0,1,4,1,2,1,3,10,2.15,45,45,4961/sunda-sahul
4962,1914,1968,0,2,2,2,2,1,2,12,3.62,360,360,4962/1914
4964,Close Assault: A Man-to-Man Game of Squad Tactics and Command – Europe 1939-1945,1983,0,1,4,0,0,0,0,12,2.88,90,90,4964/close-assault-man-man-game-squad-tactics-and-comma
4967,Rome at War II: Fading Legions,2002,0,2,2,2,2,1,2,12,2.32,120,120,4967/rome-war-ii-fading-legions
4968,Big Foot,1977,0,2,4,4,4,2,4,8,1.0,45,45,4968/big-foot
4970,Decision in France,1994,0,2,3,2,2,1,2,12,2.92,360,360,4970/decision-france
4971,Viva España: A Game of the Spanish Civil War – 1936-1939,1977,0,2,2,0,0,1,2,12,3.0,180,180,4971/viva-espana-game-spanish-civil-war-1936-1939
4974,"Wellington's Victory: Battle of Waterloo Game – June 18th, 1815",1976,0,2,2,3,0,0,0,12,0.0,240,240,4974/wellingtons-victory-battle-waterloo-game-june-18th
4976,Derby Days,1989,0,2,4,0,0,0,0,6,1.0,20,20,4976/derby-days
4977,VOR: The Maelstrom,1999,0,2,10,2,2,2,4,12,2.83,90,90,4977/vor-maelstrom
4978,Warzone (Second Edition),1998,0,2,8,2,2,2,2,12,2.93,90,240,4978/warzone-second-edition
4979,Blood Berets,1993,0,2,4,0,0,1,4,12,3.0,60,60,4979/blood-berets
4984,Jutland,1967,0,2,10,2,2,2,3,12,2.91,60,360,4984/jutland
4985,Warmaster,2000,0,2,99,2,2,2,3,12,2.91,120,120,4985/warmaster
4991,Apples to Apples Kids,2001,0,4,10,5,8,4,10,7,1.08,30,30,4991/apples-apples-kids
5010,Flight of the Boodles,1982,0,1,2,0,0,0,0,10,1.67,30,30,5010/flight-boodles
5013,Arrakhar's Wand,1983,0,2,2,0,0,0,0,12,3.0,45,45,5013/arrakhars-wand
5014,Hands Up,2002,0,2,8,6,6,4,8,6,1.08,20,20,5014/hands
5015,Don't Spill the Beans,1957,0,2,4,0,0,2,2,3,1.16,10,10,5015/dont-spill-beans
5016,Marston Moor,1978,0,2,2,2,2,1,2,12,2.67,180,180,5016/marston-moor
5019,Buggo,2000,0,2,8,0,0,2,3,5,1.14,10,10,5019/buggo
5021,The Struggle of Nations,1982,0,2,2,2,2,2,2,14,4.34,360,360,5021/struggle-nations
5022,Caesar's Game,1984,0,2,2,0,0,0,0,8,0.0,20,20,5022/caesars-game
5023,Conquerors,1977,0,2,2,2,2,1,2,12,3.23,240,240,5023/conquerors
5025,Don't Feed the Gators,1992,0,2,4,0,0,0,0,5,0.0,20,20,5025/dont-feed-gators
5026,Don't Wake the Dragon!,1986,0,2,4,0,0,2,4,5,1.67,10,12,5026/dont-wake-dragon
5029,Monopoly: Star Wars Episode I,1999,0,2,8,4,4,2,6,8,1.83,120,120,5029/monopoly-star-wars-episode-i
5034,Empire of the Rising Sun,1995,0,2,6,2,2,1,4,18,4.33,180,1200,5034/empire-rising-sun
5035,"PanzerArmee Afrika: Rommel in the Desert, April 1941 - November 1942",1973,0,2,2,2,2,1,2,12,2.62,180,180,5035/panzerarmee-afrika-rommel-desert-april-1941-novemb
5038,"Druid: Boudicca's Rebellion, 61 A.D.",1984,0,2,2,2,2,1,2,12,2.87,180,180,5038/druid-boudiccas-rebellion-61-d
5039,"The Battle for North Africa: War in the Desert, 1940-42",1996,0,2,4,2,2,1,2,12,2.93,180,180,5039/battle-north-africa-war-desert-1940-42
5040,Operation Crusader: The 8th Army's Forgotten Victory,1991,0,2,4,2,2,1,4,0,3.6,240,240,5040/operation-crusader-8th-armys-forgotten-victory
5041,IDF (Israeli Defense Force),1993,0,2,4,2,2,2,2,12,3.71,60,90,5041/idf-israeli-defense-force
5042,Flashpoint: Golan – The Fifth Arab-Israeli War,1991,0,2,2,2,2,1,2,12,3.79,360,360,5042/flashpoint-golan-fifth-arab-israeli-war
5043,The Forever War,1983,0,2,4,1,1,1,1,12,3.0,60,60,5043/forever-war
5044,Tunisia 43,2000,0,2,4,0,0,0,0,12,3.22,120,120,5044/tunisia-43
5045,Rommel's War,1985,0,2,2,2,2,1,2,12,3.58,180,180,5045/rommels-war
5048,Candy Land,1949,0,2,4,4,4,2,4,3,1.1,30,30,5048/candy-land
5050,The Worst-Case Scenario Survival Game,2001,0,2,10,3,4,2,4,8,1.2,20,40,5050/worst-case-scenario-survival-game
5051,"La Grande Armee: Campaigns of Napoleon, 1805-1815",1987,0,2,4,4,4,1,4,12,3.63,240,240,5051/la-grande-armee-campaigns-napoleon-1805-1815
5052,"Austerlitz: The Battle of Three Emperors, 2 December 1805",1972,0,2,2,1,2,1,2,12,1.93,180,180,5052/austerlitz-battle-three-emperors-2-december-1805
5054,War in the Falklands,1982,0,2,2,2,2,1,2,12,2.45,60,60,5054/war-falklands
5055,The Great War 1914-1918,1976,0,2,7,2,2,2,2,12,3.0,120,120,5055/great-war-1914-1918
5056,D.A.K.,1982,0,2,2,2,2,1,2,12,4.0,120,120,5056/dk
5057,Never Call Retreat,1983,0,2,2,2,2,1,2,12,2.63,180,180,5057/never-call-retreat
5058,Operation Crusader,1978,0,2,2,2,2,1,2,0,3.79,300,300,5058/operation-crusader
5059,Gazala: The Clash of Armor,1983,0,2,2,2,2,1,2,12,4.08,180,180,5059/gazala-clash-armor
5060,Caesar in Alexandria,2001,0,2,2,2,2,1,2,14,3.0,300,300,5060/caesar-alexandria
5063,La Regia Marina,1983,0,2,2,2,2,1,2,0,3.0,120,120,5063/la-regia-marina
5069,Europa Universalis: Extension No 1,1996,1,1,8,6,8,3,3,12,4.62,360,360,5069/europa-universalis-extension-no-1
5070,Victory Circle,1979,0,2,4,0,0,0,0,8,1.0,20,20,5070/victory-circle
5072,Carrom,0,0,2,4,2,2,2,2,6,1.46,60,60,5072/carrom
5073,Supremacy,1940,0,2,6,0,0,0,0,0,3.0,120,120,5073/supremacy
5077,Chaos,1970,0,2,4,4,4,2,4,8,1.5,20,20,5077/chaos
5078,End of the Line,1984,0,2,4,4,4,3,4,8,1.25,10,10,5078/end-line
5080,Rrib-Bit,1973,0,2,2,2,2,2,2,8,1.0,20,20,5080/rrib-bit
5081,Tac-Tic-Turn,1987,0,2,2,0,0,0,0,5,2.0,10,10,5081/tac-tic-turn
5086,Electronic Mall Madness,1989,0,2,4,3,4,2,4,9,1.2,60,60,5086/electronic-mall-madness
5088,Hatfields & McCoys,1998,0,2,2,0,0,0,0,10,1.0,45,45,5088/hatfields-mccoys
5089,Harry Potter Halls of Hogwarts,2002,0,2,4,0,0,2,2,8,1.0,45,45,5089/harry-potter-halls-hogwarts
5091,The Mother Goose Game,1971,0,2,4,0,0,0,0,4,1.0,20,20,5091/mother-goose-game
5093,Sweet Pickles,1977,0,2,5,0,0,0,0,3,0.0,30,30,5093/sweet-pickles
5095,The Goldilocks and the Three Bears Game,1973,0,2,4,0,0,2,4,3,1.0,20,20,5095/goldilocks-and-three-bears-game
5096,Sly,1975,0,1,4,2,2,1,2,10,3.0,20,20,5096/sly
5102,Incredible Hulk Smash-Up Action Game,1979,0,2,4,0,0,0,0,7,0.0,30,30,5102/incredible-hulk-smash-action-game
5104,Yogi Bear Game,1971,0,2,4,2,4,2,4,6,1.0,30,30,5104/yogi-bear-game
5106,Chicken Cha Cha Cha: Duckling Dancin',2000,1,2,6,4,4,2,6,4,1.3,20,20,5106/chicken-cha-cha-cha-duckling-dancin
5107,Pyramid: Home Game,1974,0,3,4,4,4,4,4,10,1.22,30,30,5107/pyramid-home-game
5108,The Disneyland Game,1990,0,2,4,4,4,3,4,5,1.0,30,30,5108/disneyland-game
5111,Back to the Farm,1977,0,2,4,0,0,0,0,8,1.0,45,45,5111/back-farm
5113,Fat Chance,1978,0,2,4,4,4,2,4,6,1.0,45,45,5113/fat-chance
5117,GIPF Project Set 2,2001,1,2,2,2,2,2,2,9,3.35,120,120,5117/gipf-project-set-2
5120,Doubles Wild,2001,0,2,4,2,2,2,2,8,1.0,30,30,5120/doubles-wild
5122,Charades,1550,0,2,20,6,6,4,12,8,1.12,30,30,5122/charades
5125,Cube-It,1985,0,2,2,0,0,0,0,0,0.0,20,20,5125/cube-it
5130,Afrikan tähti,1951,0,2,5,4,4,2,5,6,1.09,45,45,5130/afrikan-tahti
5135,Malarky,1996,0,3,6,0,0,4,6,10,1.48,45,45,5135/malarky
5136,Piraten-Abenteuer,1991,0,2,4,4,4,3,4,4,1.33,20,20,5136/piraten-abenteuer
5142,Fighting Sail: Sea Combat in the Age of Canvas and Shot 1775-1815,1981,0,2,2,2,2,1,2,12,2.79,240,240,5142/fighting-sail-sea-combat-age-canvas-and-shot-1775
5144,En Garde!,1986,0,3,3,3,3,3,3,8,3.0,45,45,5144/en-garde
5150,Voyage of the Dawn Treader,1983,0,2,4,0,0,0,0,5,1.0,60,60,5150/voyage-dawn-treader
5151,The Incredible Crash Dummies Crash Test Game,1992,0,2,4,0,0,2,4,6,1.0,30,30,5151/incredible-crash-dummies-crash-test-game
5157,King's Court,1986,0,2,2,2,2,2,2,7,1.77,20,20,5157/kings-court
5159,3 Up,1972,0,2,4,0,0,0,0,5,0.0,20,20,5159/3
5160,Dino-Checkers,1989,0,2,2,2,2,2,2,6,1.0,30,30,5160/dino-checkers
5162,Chinese Chess,1981,0,2,2,2,2,2,2,8,2.75,20,20,5162/chinese-chess
5166,Express Monopoly Card Game,1993,0,2,4,0,0,0,0,8,1.13,20,20,5166/express-monopoly-card-game
5167,Rubik's Illusion,1989,0,2,2,0,0,2,2,0,1.7,30,30,5167/rubiks-illusion
5168,Queen's Guard,1842,0,2,2,2,2,2,2,9,2.33,30,30,5168/queens-guard
5171,War Without Mercy,1998,0,2,6,2,2,1,3,12,3.44,360,360,5171/war-without-mercy
5172,Blitzkrieg General,1999,0,2,5,4,5,1,5,10,2.54,240,240,5172/blitzkrieg-general
5173,Avalanche: The Invasion of Italy,1994,0,2,2,2,2,2,2,12,3.0,240,240,5173/avalanche-invasion-italy
5177,Drakborgen Legenden,2002,0,2,4,4,4,2,4,0,2.25,90,90,5177/drakborgen-legenden
5178,Marrakesh,2002,0,2,4,3,3,2,4,6,1.26,20,20,5178/marrakesh
5181,Operation Cannibal,1996,0,2,2,0,0,0,0,12,2.38,180,180,5181/operation-cannibal
5182,The African Campaign,1973,0,1,2,2,2,1,2,12,2.48,120,120,5182/african-campaign
5183,Austerlitz,1993,0,1,4,2,2,1,3,12,3.33,360,360,5183/austerlitz
5185,Field Marshal,1976,0,2,2,2,2,2,2,12,2.08,120,120,5185/field-marshal
5186,King Arthur and the Knights of the Round Table,1986,0,1,6,3,5,1,6,12,2.9,240,240,5186/king-arthur-and-knights-round-table
5193,The Fury of the Norsemen,1980,0,2,2,2,2,1,2,12,1.63,60,60,5193/fury-norsemen
5194,Fire When Ready,1982,0,1,4,2,2,1,2,12,2.38,30,120,5194/fire-when-ready
